#Top: cms_pix_28_fw_top_bd_wrapper   Floorplan: impl_1   Part: xczu9eg-ffvb1156-2-e
#Generated by: gingu   on: Wed Nov  6 13:44:42 2024
#Build: Vivado v2022.1   by: xbuild   on: Mon Apr 18 15:47:01 MDT 2022
#Package Version: PRODUCTION 1.1 3/3/2017
#Package Pin Delay Version: PRODUCTION 1.0 7/24/2015

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to a 1.8V standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
67,M10,IOB_X1Y186,IO_L15P_T2L_N4_AD11P_67,152.880,154.416,,DATA.SCAN_LOAD_P_23558,scan_load_p[0],OUT,P,scan_load_n[0],LVDS,,,,,,,,,,FD_100,,,
67,L10,IOB_X1Y187,IO_L15N_T2L_N5_AD11N_67,146.685,148.159,,DATA.SCAN_LOAD_P_23558,scan_load_n[0],OUT,N,scan_load_p[0],LVDS,,,,,,,,,,FD_100,,,
66,AB3,IOB_X1Y145,IO_L20P_T3L_N2_AD1P_66,111.101,112.218,,,scan_out_test,IN,,,LVCMOS18,,,,,,,,,,,,,
66,AA1,IOB_X1Y148,IO_L21N_T3L_N5_AD8N_66,108.337,109.426,,,super_pixel_sel,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
67,P10,IOB_X1Y184,IO_L14P_T2L_N2_GC_67,126.073,127.340,,,vin_test_trig_out,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
0,AD14,,POR_OVERRIDE,57.096,57.670,,,,,,,,,,,,,,,,,,,,
0,AD15,,PUDC_B,61.873,62.494,,,,,,,,,,,,,,,,,,,,
0,T17,,GNDADC,,,,,,,,,,,,,,,,,,,,,,
0,T18,,VCCADC,,,,,,,,,,,,,,,,,,,,,,
0,U17,,VREFN,70.887,71.599,,,,,,,,,,,,,,,,,,,,
0,V18,,VREFP,64.950,65.603,,,,,,,,,,,,,,,,,,,,
0,W17,,DXN,55.255,55.810,,,,,,,,,,,,,,,,,,,,
0,W18,,DXP,58.291,58.877,,,,,,,,,,,,,,,,,,,,
44,AP14,IOB_X0Y1,IO_L1N_AD11N_44,100.260,101.268,,,,,,,,,,,,,,,,,,,,
44,AN14,IOB_X0Y0,IO_L1P_AD11P_44,99.535,100.536,,,,,,,,,,,,,,,,,,,,
44,AN13,IOB_X0Y3,IO_L2N_AD10N_44,100.856,101.869,,,,,,,,,,,,,,,,,,,,
44,AM14,IOB_X0Y2,IO_L2P_AD10P_44,99.752,100.755,,,,,,,,,,,,,,,,,,,,
44,AP12,IOB_X0Y5,IO_L3N_AD9N_44,114.663,115.816,,,,,,,,,,,,,,,,,,,,
44,AN12,IOB_X0Y4,IO_L3P_AD9P_44,127.723,129.007,,,,,,,,,,,,,,,,,,,,
44,AM13,IOB_X0Y7,IO_L4N_AD8N_44,99.501,100.501,,,,,,,,,,,,,,,,,,,,
44,AL13,IOB_X0Y6,IO_L4P_AD8P_44,99.841,100.845,,,,,,,,,,,,,,,,,,,,
44,AK14,IOB_X0Y9,IO_L5N_HDGC_AD7N_44,99.652,100.653,,,,,,,,,,,,,,,,,,,,
44,AK15,IOB_X0Y8,IO_L5P_HDGC_AD7P_44,99.650,100.652,,,,,,,,,,,,,,,,,,,,
44,AL12,IOB_X0Y11,IO_L6N_HDGC_AD6N_44,102.289,103.317,,,,,,,,,,,,,,,,,,,,
44,AK13,IOB_X0Y10,IO_L6P_HDGC_AD6P_44,101.382,102.401,,,,,,,,,,,,,,,,,,,,
44,AH13,IOB_X0Y27,IO_L7N_HDGC_AD5N_44,74.117,74.862,,,,,,,,,,,,,,,,,,,,
44,AH14,IOB_X0Y26,IO_L7P_HDGC_AD5P_44,75.136,75.891,,,,,,,,,,,,,,,,,,,,
